Nombre|| UR|| Description|| Year Created|| Stars|| Number of commits|| Number of contracts|| Days since last commi|| Lines of code												
azamrazman/Solidity_SmartContracts||https://github.com/azamrazman/Solidity_SmartContracts||None||2014||0||15||3||219||355												
AugurProject/augur-core||https://github.com/AugurProject/augur-core||Augur back-end (Ethereum contracts)||2014||520||30||30||31||1207												
etherex/pyepm||https://github.com/etherex/pyepm||Python-based EPM (Ethereum Package Manager) for Serpent 2 and Solidity contract deployment using YAML for package definitions.||2014||30||30||1||1181||380												
monax/compilers||https://github.com/monax/compilers||DEPRECATED. To be removed December 2018 (use ethereum/solidity)||2015||12||30||30||229||638												
drcode/ethereum-order-statistic-tree||https://github.com/drcode/ethereum-order-statistic-tree||An Order Statistic Tree in the Ethereum Solidity Language||2015||45||16||1||335||368												
rfikki/solidity-resources||https://github.com/rfikki/solidity-resources||Tutorials	 solidity contracts and javascript.||2015||0||12||6||1352||488											
christianpeel/solidityContracts||https://github.com/christianpeel/solidityContracts||Example Solidity contracts with associated HTML for testing Ethereum Mix IDE||2015||4||6||9||256||183												
nivertech/ethereum_solidity_tutorial||https://github.com/nivertech/ethereum_solidity_tutorial||Ethereum Solidity Tutorial||2015||1||8||2||1285||51												
Rune23/Maker||https://github.com/Rune23/Maker||Stablecoin implementation in solidity||2015||1||27||4||1261||608												
romanman/solidity-demo||https://github.com/romanman/solidity-demo||solidity-demo||2015||0||8||1||1301||19												
ethergit/solidity-demo||https://github.com/ethergit/solidity-demo||None||2015||0||1||2||1303||28												
chriseth/solidity-examples||https://github.com/chriseth/solidity-examples||None||2015||53||12||5||119||303												
ethereum/btcrelay||https://github.com/ethereum/btcrelay||Ethereum contract for Bitcoin SPV: Live on https://etherscan.io/address/0x41f274c0023f83391de4e0733c609df5a124c3d4||2015||453||30||3||35||457												
slockit/smart-contract||https://github.com/slockit/smart-contract||The Ethereum solidity smart contracts for the Slock.it project||2015||149||30||4||893||541												
trufflesuite/truffle||https://github.com/trufflesuite/truffle||The most popular blockchain development framework||2015||7234||30||30||27||2121												
androlo/gulp-smake||https://github.com/androlo/gulp-smake||Solidity compiler binding for gulp||2015||4||15||1||1161||0												
ether-camp/contracts||https://github.com/ether-camp/contracts||Solidity Contracts||2015||3||9||4||942||221												
dennismckinnon/test||https://github.com/dennismckinnon/test||Simple example solidity contract -> dapp server example||2015||0||2||1||1203||10												
d11e9/solidity1||https://github.com/d11e9/solidity1||Introducing: Roulette||2015||0||9||1||1183||144												
ethereum/solidity||https://github.com/ethereum/solidity||Solidity	 the Contract-Oriented Programming Language||2015||6245||30||30||27||240											
ckeenan/gas-tests||https://github.com/ckeenan/gas-tests||Series of gas-consumption tests for solidity||2015||0||4||1||1175||70												
cyrusadkisson/solidity-baby-steps||https://github.com/cyrusadkisson/solidity-baby-steps||Contract examples for Ethereum||2015||754||30||27||198||2586												
ORBAT/solidity-tryout||https://github.com/ORBAT/solidity-tryout||Trying out Ethereum's Solidity language||2015||0||16||1||929||124												
drocta/antiPool||https://github.com/drocta/antiPool||An attempt to incentivise non pooled mining over pooled mining on Ethereum. Written in solidity.||2015||0||5||1||1136||83												
SilentCicero/meteor-solc||https://github.com/SilentCicero/meteor-solc||The solc package provides a Solidity compiler build plugin for the Meteor build tool.||2015||8||9||1||582||13												
edmundedgar/show-confusion-about-solidity-types-and-sha3||https://github.com/edmundedgar/show-confusion-about-solidity-types-and-sha3||None||2015||0||4||3||1103||57												
axic/density||https://github.com/axic/density||Density is a library or collection of useful modifiers and methods for Solidity.||2015||23||3||6||790||87												
